ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,last_updated_utc
BAYAU,Bayview Acquisition Corp Unit,stocks,us,XNAS,UNIT,True,usd,0001969475,BBG01K7N3468,2025-10-05T06:05:16.272326135Z
BApA,"The Boeing Company Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",stocks,us,XNYS,SP,True,usd,0000012927,,2025-10-05T06:05:16.272326215Z
BB,BlackBerry Limited,stocks,us,XNYS,CS,True,usd,0001070235,BBG000CR90K4,2025-10-05T06:05:16.272326295Z
BBAG,JPMorgan BetaBuilders U.S. Aggregate Bond ETF,stocks,us,ARCX,ETF,True,usd,0001485894,BBG00MSHTGF0,2025-10-05T06:05:16.272326375Z
BBAI,"BigBear.ai Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001836981,BBG00Z4HKRV4,2025-10-05T06:05:16.272326455Z
BBAI.WS,"BigBear.ai Holdings, Inc. Redeemable warrants, each full warrant exercisable for one share of common stock at an exercise price of $11.50 per share",stocks,us,XNYS,WARRANT,True,usd,0001836981,BBG00ZVNPL58,2025-10-05T06:05:16.272326656Z
BBAR,Banco BBVA Argentina S.A.,stocks,us,XNYS,ADRC,True,usd,0000913059,BBG000BLLR07,2025-10-05T06:05:16.272326736Z
BBAX,JPMorgan BetaBuilders Developed Asia Pacific-ex Japan ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00LN4D2G3,2025-10-05T06:05:16.272326926Z
BBB,ONEFUND Trust CYBER HORNET S&P 500 and Bitcoin 75/25 Strategy ETF75/25 Strategy ETF,stocks,us,XNAS,ETF,True,usd,,BBG01KS90D05,2025-10-05T06:05:16.272327147Z
BBBI,BondBloxx BBB Rated 5-10 Year Corporate Bond ETF,stocks,us,ARCX,ETF,True,usd,,BBG01L55SHT6,2025-10-05T06:05:16.272327227Z
BBBL,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,stocks,us,ARCX,ETF,True,usd,,BBG01L53QR02,2025-10-05T06:05:16.272327317Z
BBBS,BondBloxx BBB Rated 1-5 Year Corporate Bond ETF,stocks,us,ARCX,ETF,True,usd,,BBG01L53Z9K0,2025-10-05T06:05:16.272327397Z
BBBY,"Bed Bath & Beyond, Inc.",stocks,us,XNYS,CS,True,usd,0001130713,BBG000BF7BV7,2025-10-05T06:05:16.272327477Z
BBC,Virtus LifeSci Biotech Clinical Trials ETF,stocks,us,ARCX,ETF,True,usd,0001559109,BBG007QVCGG1,2025-10-05T06:05:16.272327558Z
BBCA,JPMorgan BetaBuilders Canada ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00LN4CVW2,2025-10-05T06:05:16.272327638Z
BBCB,JPMorgan BetaBuilders USD Investment Grade Corporate Bond ETF,stocks,us,ARCX,ETF,True,usd,0001485894,BBG00MSHT6G1,2025-10-05T06:05:16.272327728Z
BBCP,"Concrete Pumping Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001703956,BBG00M8BB0W0,2025-10-05T06:05:16.272327808Z
BBD,Banco Bradesco S.A. American Depositary Shares (Each representing one Preferred Shares),stocks,us,XNYS,ADRC,True,usd,0001160330,BBG000BS6WW3,2025-10-05T06:05:16.272327888Z
BBDC,"Barings BDC, Inc.",stocks,us,XNYS,CS,True,usd,0001379785,BBG000F54FK1,2025-10-05T06:05:16.272328058Z
BBDO,"Banco Bradesco S.A. American Depositary Shares (Each representing one  Common Share, no par value)",stocks,us,XNYS,ADRC,True,usd,0001160330,BBG002QK59T6,2025-10-05T06:05:16.272328139Z
BBEM,JPMorgan BetaBuilders Emerging Markets Equity ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG01FY5GRT8,2025-10-05T06:05:16.272328209Z
BBEU,JPMorgan BetaBuilders Europe ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00L52KWW5,2025-10-05T06:05:16.272328449Z
BBGI,Beasley Broadcasting Group Inc,stocks,us,XNAS,CS,True,usd,0001099160,BBG000CB07H7,2025-10-05T06:05:16.272328529Z
BBH,VanEck Biotech ETF,stocks,us,XNAS,ETF,True,usd,0001137360,BBG000C1FW33,2025-10-05T06:05:16.27232864Z
BBHY,JPMorgan BetaBuilders USD High Yield Corporate Bond ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00DRLJ353,2025-10-05T06:05:16.27232873Z
BBIB,JPMorgan BetaBuilders U.S. Treasury Bond 3-10 Year ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG01G1SB1M1,2025-10-05T06:05:16.27232883Z
BBIN,JPMorgan BetaBuilders International Equity ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00QRCN8M9,2025-10-05T06:05:16.27232891Z
BBIO,"BridgeBio Pharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001743881,BBG00P9KDZK6,2025-10-05T06:05:16.27232908Z
BBJP,JPMorgan BetaBuilders Japan ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00L52MGS3,2025-10-05T06:05:16.272329161Z
BBLB,JPMorgan BetaBuilders U.S. Treasury Bond 20+ Year ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG01G1S4Q99,2025-10-05T06:05:16.272329241Z
BBLG,Bone Biologics Corp Common Stock,stocks,us,XNAS,CS,True,usd,0001419554,BBG007GF2K51,2025-10-05T06:05:16.272329321Z
BBLGW,Bone Biologics Corp Warrants,stocks,us,XNAS,WARRANT,True,usd,0001419554,BBG012Y6Z4L3,2025-10-05T06:05:16.272329401Z
BBLU,EA Bridgeway Blue Chip ETF,stocks,us,ARCX,ETF,True,usd,,BBG01B089DY1,2025-10-05T06:05:16.272329481Z
BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,stocks,us,ARCX,ETF,True,usd,0001485894,BBG00S7NJMQ3,2025-10-05T06:05:16.272329561Z
BBN,BlackRock Taxable Municipal Bond Trust,stocks,us,XNYS,FUND,True,usd,0001493683,BBG000BGFM15,2025-10-05T06:05:16.272329641Z
BBNX,"Beta Bionics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001674632,BBG00JNGG9Q2,2025-10-05T06:05:16.272329832Z
BBOT,"BridgeBio Oncology Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001869105,BBG01L3GYF02,2025-10-05T06:05:16.272329992Z
BBP,Virtus LifeSci Biotech Products ETF,stocks,us,ARCX,ETF,True,usd,0001559109,BBG007QVCC25,2025-10-05T06:05:16.272330343Z
BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00L53HBD4,2025-10-05T06:05:16.272330433Z
BBSB,JPMorgan BetaBuilders U.S. Treasury Bond 1-3 Year ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG01G1S8XD5,2025-10-05T06:05:16.272330573Z
BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,stocks,us,ARCX,ETF,True,usd,0001485894,BBG00X0VP3B2,2025-10-05T06:05:16.272330653Z
BBSI,Barrett Business Services,stocks,us,XNAS,CS,True,usd,0000902791,BBG000BHJSC4,2025-10-05T06:05:16.272330734Z
BBT,Beacon Financial Corporation,stocks,us,XNYS,CS,True,usd,0001108134,BBG000BB00D7,2025-10-05T06:05:16.272330814Z
BBU,Brookfield Business Partners L.P.Limited Partnership Units,stocks,us,XNYS,CS,True,usd,0001654795,,2025-10-05T06:05:16.272330954Z
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,stocks,us,XNYS,CS,True,usd,0001871130,BBG015MRS011,2025-10-05T06:05:16.272331134Z
BBUS,JPMorgan BetaBuilders U.S. Equity ETF,stocks,us,BATS,ETF,True,usd,0001485894,BBG00NKWFB96,2025-10-05T06:05:16.272331295Z
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",stocks,us,XNYS,ADRC,True,usd,0000842180,BBG000BXD232,2025-10-05T06:05:16.272331385Z
BBW,"Build-A-Bear Workshop, Inc.",stocks,us,XNYS,CS,True,usd,0001113809,BBG000H8XPS1,2025-10-05T06:05:16.272331465Z
BBWI,"Bath & Body Works, Inc.",stocks,us,XNYS,CS,True,usd,0000701985,BBG000BNGTQ7,2025-10-05T06:05:16.272331585Z
BBY,"Best Buy Company, Inc.",stocks,us,XNYS,CS,True,usd,0000764478,BBG000BCWCG1,2025-10-05T06:05:16.272331665Z
BC,Brunswick Corporation,stocks,us,XNYS,CS,True,usd,0000014930,BBG000BCWSS3,2025-10-05T06:05:16.272331746Z
BCAB,"BioAtla, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001826892,BBG00Y6GBT61,2025-10-05T06:05:16.272331826Z
BCAL,California BanCorp Common Stock,stocks,us,XNAS,CS,True,usd,0001795815,BBG000QJ8KD2,2025-10-05T06:05:16.272331906Z
BCAR,D. Boral ARC Acquisition I Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002065779,,2025-10-05T06:05:16.272332206Z
BCARU,D. Boral ARC Acquisition I Corp. Units,stocks,us,XNAS,UNIT,True,usd,0002065779,,2025-10-05T06:05:16.272332737Z
BCARW,D. Boral ARC Acquisition I Corp. Warrant,stocks,us,XNAS,WARRANT,True,usd,0002065779,,2025-10-05T06:05:16.272332968Z
BCAT,BlackRock Capital Allocation Term Trust,stocks,us,XNYS,FUND,True,usd,0001809541,BBG00WRC2FN2,2025-10-05T06:05:16.272333158Z
BCAX,Bicara Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0002023658,BBG00Z15DGK7,2025-10-05T06:05:16.272333339Z
BCBP,BCB Bancorp Inc (NJ),stocks,us,XNAS,CS,True,usd,0001228454,BBG000M7H7J5,2025-10-05T06:05:16.272333419Z
BCC,Boise Cascade Company,stocks,us,XNYS,CS,True,usd,0001328581,BBG000RQKCR4,2025-10-05T06:05:16.272333539Z
BCCC,Global X Bitcoin Covered Call ETF,stocks,us,BATS,ETF,True,usd,,BBG01VCHMVT5,2025-10-05T06:05:16.272333619Z
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,stocks,us,ARCX,ETF,True,usd,,BBG00G9CGWP3,2025-10-05T06:05:16.272333739Z
BCDA,"BioCardia, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000925741,BBG000BTJTF3,2025-10-05T06:05:16.2723339Z
BCDF,Horizon Kinetics Blockchain Development ETF,stocks,us,ARCX,ETF,True,usd,0001683471,BBG0191G6DC4,2025-10-05T06:05:16.27233398Z
BCE,"BCE, Inc.",stocks,us,XNYS,CS,True,usd,0000718940,BBG000BCXNS3,2025-10-05T06:05:16.27233406Z
BCG,"Binah Capital Group, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001953984,BBG01G023166,2025-10-05T06:05:16.27233414Z
BCGWW,"Binah Capital Group, Inc. Warrants",stocks,us,XNAS,WARRANT,True,usd,0001953984,BBG01GY518Z7,2025-10-05T06:05:16.27233422Z
BCH,Banco de ChileAmerican Depositary Shares (Each representing 200 shares of Common Stock),stocks,us,XNYS,ADRC,True,usd,0001161125,BBG000D5HVG9,2025-10-05T06:05:16.2723343Z
BCHI,GMO Beyond China ETF,stocks,us,ARCX,ETF,True,usd,,BBG01S548VL3,2025-10-05T06:05:16.272334381Z
BCHP,Principal Focused Blue Chip ETF,stocks,us,BATS,ETF,True,usd,0001572661,BBG01H8T1L01,2025-10-05T06:05:16.272334511Z
BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,stocks,us,ARCX,ETF,True,usd,,BBG00G9CFD03,2025-10-05T06:05:16.272334631Z
BCIC,BCP Investment Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001372807,BBG000BMSWV3,2025-10-05T06:05:16.272334721Z
